k,Average Accuracy,Accuracy (%)
20,0.5176036872334835,51.76036872334835
40,0.712560263963857,71.25602639638569
60,0.812029263961105,81.2029263961105
80,0.8758796907578568,87.58796907578568
100,0.8816514735236977,88.16514735236977
120,0.8819395224313602,88.19395224313602
140,0.8920121443527999,89.20121443527998
160,0.8981851114079138,89.81851114079137
165,0.8922,89.22
170,0.8985,89.85
175,0.8993,89.92999999999999
180,0.8974443801936498,89.74443801936498
185,0.8891,88.91
190,0.8989,89.89
195,0.904,90.4
200,0.9057,90.57
204,0.9060042642627767,90.60042642627766
